time,latitude,longitude,altitude
1754491301.0444183,50.3587202,7.54040875,225.3
1754491302.0440092,50.35871193333333,7.540419633333333,225.2
1754491303.048964,50.358703266666666,7.540428533333333,225.3
1754491304.0421915,50.35869436666667,7.540437816666667,225.2
1754491305.046334,50.35868548333333,7.54044775,225.2
1754491306.0459902,50.358676933333335,7.5404583333333335,225.3
1754491307.0886137,50.35866886666667,7.540469616666667,225.4
1754491308.0448632,50.35866075,7.540481083333333,225.6
1754491309.046662,50.35865318333333,7.540493466666667,226.0
1754491310.0473237,50.358646566666664,7.54050685,226.3
1754491311.0487065,50.35864085,7.54051835,226.4
1754491312.043412,50.35863575,7.540526883333333,226.5
1754491313.044967,50.35863166666667,7.540531966666666,226.4
1754491314.0459702,50.3586307,7.5405320499999995,226.3
1754491315.047108,50.358629683333334,7.540531466666667,226.2
